day,time,longitude,latitude,altitude
2016-08-22,06:48:42,,,
2016-08-22,06:48:45,,,
2016-08-22,06:48:48,,,
2016-08-22,06:48:50,,,
2016-08-22,06:48:54,,,
2016-08-22,06:49:02,,,
2016-08-22,06:49:04,,,
2016-08-22,06:49:06,,,
2016-08-22,06:49:08,,,
2016-08-22,06:49:10,,,
2016-08-22,06:49:14,,,
2016-08-22,06:49:16,,,
2016-08-22,06:49:18,,,
2016-08-22,06:49:24,,,
2016-08-22,06:49:28,,,
2016-08-22,06:49:32,,,
2016-08-22,06:49:37,,,
2016-08-22,06:49:40,,,
2016-08-22,06:49:45,,,
2016-08-22,06:49:49,,,
2016-08-22,06:49:53,,,
2016-08-22,06:49:57,,,
2016-08-22,06:50:00,,,
2016-08-22,06:50:11,,,
2016-08-22,06:50:16,,,
2016-08-22,06:50:19,,,
2016-08-22,06:50:21,,,
2016-08-22,06:50:25,,,
2016-08-22,06:50:28,,,
2016-08-22,06:50:30,,,
2016-08-22,06:50:34,,,
2016-08-22,06:50:38,,,
2016-08-22,06:50:41,,,
2016-08-22,06:50:45,,,
2016-08-22,06:50:49,,,
2016-08-22,06:50:52,,,
2016-08-22,06:50:57,,,
2016-08-22,06:51:01,,,
2016-08-22,06:51:07,,,
2016-08-22,06:51:12,,,
2016-08-22,06:51:16,,,
2016-08-22,06:51:19,,,
2016-08-22,06:51:24,,,
2016-08-22,06:51:27,,,
2016-08-22,06:51:31,,,
2016-08-22,06:51:31,,,
2016-08-22,06:51:33,,,
2016-08-22,06:51:35,,,
2016-08-22,06:51:36,,,
2016-08-22,06:51:37,,,
2016-08-22,06:51:38,,,
2016-08-22,06:51:41,,,
2016-08-22,06:51:41,,,
2016-08-22,06:51:43,,,
2016-08-22,06:51:44,,,
2016-08-22,06:51:45,,,
2016-08-22,06:51:46,,,
2016-08-22,06:51:48,,,
2016-08-22,06:51:48,,,
2016-08-22,06:51:49,,,
2016-08-22,06:51:50,,,
2016-08-22,06:51:52,,,
2016-08-22,06:51:54,,,
2016-08-22,06:51:56,,,
2016-08-22,06:51:57,,,
2016-08-22,06:51:58,,,
2016-08-22,06:52:00,,,
2016-08-22,06:52:01,,,
2016-08-22,06:52:02,,,
2016-08-22,06:52:04,,,
2016-08-22,06:52:06,,,
2016-08-22,06:52:08,,,
2016-08-22,06:52:09,,,
2016-08-22,06:52:10,,,
2016-08-22,06:52:11,,,
2016-08-22,06:52:12,,,
2016-08-22,06:52:15,,,
2016-08-22,06:52:15,,,
2016-08-22,06:52:17,,,
2016-08-22,06:52:19,,,
2016-08-22,06:52:21,,,
2016-08-22,06:52:24,,,
2016-08-22,06:52:25,,,
2016-08-22,06:52:26,,,
2016-08-22,06:52:27,,,
2016-08-22,06:52:30,,,
2016-08-22,06:52:30,,,
2016-08-22,06:52:32,,,
2016-08-22,06:52:33,,,
2016-08-22,06:52:35,,,
2016-08-22,06:52:37,,,
2016-08-22,06:52:40,,,
2016-08-22,06:52:40,,,
2016-08-22,06:52:42,,,
2016-08-22,06:52:42,,,
2016-08-22,06:52:44,,,
2016-08-22,06:52:45,,,
2016-08-22,06:52:47,,,
2016-08-22,06:52:48,,,
2016-08-22,06:52:50,,,
2016-08-22,06:52:51,,,
2016-08-22,06:52:53,,,
2016-08-22,06:52:53,,,
2016-08-22,06:52:54,,,
2016-08-22,06:52:57,,,
2016-08-22,06:52:58,,,
2016-08-22,06:53:00,,,
2016-08-22,06:53:01,,,
2016-08-22,06:53:02,,,
2016-08-22,06:53:03,,,
2016-08-22,06:53:06,,,
2016-08-22,06:53:07,,,
2016-08-22,06:53:09,,,
2016-08-22,06:53:10,,,
2016-08-22,06:53:11,,,
2016-08-22,06:53:13,,,
2016-08-22,06:53:14,,,
2016-08-22,06:53:15,,,
2016-08-22,06:53:17,,,
2016-08-22,06:53:18,,,
2016-08-22,06:53:20,,,
2016-08-22,06:53:22,,,
2016-08-22,06:53:23,,,
2016-08-22,06:53:25,,,
2016-08-22,06:53:27,,,
2016-08-22,06:53:29,,,
2016-08-22,06:53:32,,,
2016-08-22,06:53:36,,,
2016-08-22,06:53:40,,,
2016-08-22,06:53:43,,,
2016-08-22,06:53:49,,,
2016-08-22,06:53:53,,,
2016-08-22,06:53:59,,,
2016-08-22,06:54:01,,,
2016-08-22,06:54:06,,,
2016-08-22,06:54:09,,,
2016-08-22,06:54:15,,,
2016-08-22,06:54:17,,,
2016-08-22,06:54:22,,,
2016-08-22,06:54:26,,,
2016-08-22,06:54:31,,,
2016-08-22,06:54:37,,,
2016-08-22,06:54:41,,,
2016-08-22,06:54:44,,,
2016-08-22,06:54:48,,,
2016-08-22,06:54:54,,,
2016-08-22,06:54:59,,,
2016-08-22,06:55:02,,,
2016-08-22,06:55:05,,,
2016-08-22,06:55:11,,,
2016-08-22,06:55:14,,,
2016-08-22,06:55:18,,,
2016-08-22,06:55:22,,,
2016-08-22,06:55:26,,,
2016-08-22,06:55:30,,,
2016-08-22,06:55:35,,,
2016-08-22,06:55:38,,,
2016-08-22,06:55:43,,,
2016-08-22,06:55:47,,,
2016-08-22,06:55:52,,,
2016-08-22,06:55:56,,,
2016-08-22,06:56:02,,,
2016-08-22,06:56:06,,,
2016-08-22,06:56:11,,,
2016-08-22,06:56:17,,,
2016-08-22,06:56:23,,,
2016-08-22,06:56:27,,,
2016-08-22,06:56:32,,,
2016-08-22,06:56:36,,,
2016-08-22,06:56:41,,,
2016-08-22,06:56:44,,,
2016-08-22,06:56:49,,,
2016-08-22,06:56:53,,,
2016-08-22,06:56:59,,,
2016-08-22,06:57:02,,,
2016-08-22,06:57:09,,,
2016-08-22,06:57:11,,,
